fileHash;textureName;format;width;height;mipmapCount;rasterPosition;rasterSize;paletteFormat;palettePosition;paletteSize
00000F7C;UI_XJAPJAP;indexed8;32;32;1;1d0;400;rgba;620;400
00000F7C;UI_HourglassIcon;indexed4;32;32;1;b40;200;rgba;d90;40
00000F7C;UI_NewMessageIcon;indexed4;8;32;1;f10;200;rgba;1160;40
00000F7C;UI_blank;indexed4;8;8;1;12d8;80;rgba;13a8;40
00000F7C;UI_TorchIcon;indexed4;16;32;1;1524;200;rgba;1774;40
00000F7C;UI_AccountsIcon;indexed4;32;32;1;18f0;200;rgba;1b40;40
00000F7C;UI_ArrowWhite;indexed4;16;32;1;1cbc;200;rgba;1f0c;40
00000F7C;UI_CarSeat;indexed4;32;32;1;2084;200;rgba;22d4;40
00000F7C;UI_Scanlines;indexed4;8;512;1;2450;2000;rgba;44a0;40
00000F7C;UI_X;indexed4;32;32;1;4614;200;rgba;4864;40
00000F7C;UI_Square;indexed4;32;32;1;49dc;200;rgba;4c2c;40
00000F7C;UI_PS2LeftThumbstick;indexed4;32;32;1;4db0;200;rgba;5000;40
00000F7C;UI_WaypointIconMarker;indexed4;8;16;1;5184;100;rgba;52d4;40
00000F7C;UI_BlueCross;indexed4;16;16;1;5450;100;rgba;55a0;40
00000F7C;UI_IconMessageNotification;indexed4;64;32;1;5728;400;rgba;5b78;40
00000F7C;UI_Brightness3;indexed4;128;8;1;5cf4;200;rgba;5f44;40
00000F7C;UI_Brightness2;indexed4;128;8;1;60c0;200;rgba;6310;40
00000F7C;UI_Brightness1;indexed4;128;8;1;648c;200;rgba;66dc;40
00000F7C;UI_Brightness0;indexed4;128;8;1;6858;200;rgba;6aa8;40
00000F7C;UI_Brightness9;indexed4;128;8;1;6c24;200;rgba;6e74;40
00000F7C;UI_Brightness8;indexed4;128;8;1;6ff0;200;rgba;7240;40
00000F7C;UI_Brightness7;indexed4;128;8;1;73bc;200;rgba;760c;40
00000F7C;UI_Brightness6;indexed4;128;8;1;7788;200;rgba;79d8;40
00000F7C;UI_Brightness5;indexed4;128;8;1;7b54;200;rgba;7da4;40
00000F7C;UI_Brightness4;indexed4;128;8;1;7f20;200;rgba;8170;40
